training_date,version,region,commodity,model_type,mse,rmse,mape
2026-08-13,26.8.1,national,tomato,xgboost,5558.051441136918,74.55234027940986,3.7201539269494175
2026-08-13,26.8.1,national,onion,arima,8055.886279792734,89.75458918513712,3.5132821139954293
2026-08-13,26.8.1,national,potato,arima,10762.63607811907,103.74312544992594,9.209416272861194
2026-08-13,26.8.1,national,brinjal,xgboost,25747.71931032973,160.46095883525604,3.64031812896509
2026-08-13,26.8.1,tn,tomato,xgboost,10669.313111174482,103.29236714866438,2.6866939629726643
2026-08-13,26.8.1,tn,onion,arima,3061.0191908021948,55.32647820711341,2.08665764829708
2026-08-13,26.8.1,tn,potato,arima,12945.74029744587,113.77934916954776,3.273418284197036
2026-08-13,26.8.1,tn,brinjal,xgboost,5726.639115940701,75.67456055994445,1.5795901751411716
2026-08-13,26.8.1,national,tomato,xgboost,10319.608417939055,101.58547345924542,5.1020348110901175
2026-08-13,26.8.1,national,onion,arima,7454.6914234206715,86.34055491726163,3.3456818800266306
2026-08-13,26.8.1,national,potato,arima,10537.01124174512,102.64994516191969,9.089287133517034
2026-08-13,26.8.1,national,brinjal,xgboost,16799.915132990976,129.6144865861489,3.0883847284723798
2026-08-13,26.8.1,tn,tomato,xgboost,19098.59816334626,138.19767785077383,3.7957264670680133
2026-08-13,26.8.1,tn,onion,arima,1723.6656533504338,41.51705256097106,1.4618948116481556
2026-08-13,26.8.1,tn,potato,arima,11485.585013700274,107.17082165263209,2.9899602683450954
2026-08-13,26.8.1,tn,brinjal,xgboost,17706.031816770203,133.06401398112942,2.391154280069391
2026-08-13,26.8.1,national,tomato,xgboost,10319.608417939055,101.58547345924542,5.1020348110901175
2026-08-13,26.8.1,national,onion,arima,7454.6914234206715,86.34055491726163,3.3456818800266306
2026-08-13,26.8.1,national,potato,arima,10537.01124174512,102.64994516191969,9.089287133517034
2026-08-13,26.8.1,national,brinjal,xgboost,16799.915132990976,129.6144865861489,3.0883847284723798
2026-08-13,26.8.1,tn,tomato,xgboost,19098.59816334626,138.19767785077383,3.7957264670680133
2026-08-13,26.8.1,tn,onion,arima,1723.6656533504338,41.51705256097106,1.4618948116481556
2026-08-13,26.8.1,tn,potato,arima,11485.585013700274,107.17082165263209,2.9899602683450954
2026-08-13,26.8.1,tn,brinjal,xgboost,17706.031816770203,133.06401398112942,2.391154280069391
2026-08-14,26.8.2,national,tomato,xgboost,10319.608417939055,101.58547345924542,5.1020348110901175
2026-08-14,26.8.2,national,onion,arima,7454.6914234206715,86.34055491726163,3.3456818800266306
2026-08-14,26.8.2,national,potato,arima,10537.01124174512,102.64994516191969,9.089287133517034
2026-08-14,26.8.2,national,brinjal,xgboost,16799.915132990976,129.6144865861489,3.0883847284723798
2026-08-14,26.8.2,tn,tomato,xgboost,19098.59816334626,138.19767785077383,3.7957264670680133
2026-08-14,26.8.2,tn,onion,arima,1723.6656533504338,41.51705256097106,1.4618948116481556
2026-08-14,26.8.2,tn,potato,arima,11485.585013700274,107.17082165263209,2.9899602683450954
2026-08-14,26.8.2,tn,brinjal,xgboost,17706.031816770203,133.06401398112942,2.391154280069391
2026-08-17,26.8.3,national,tomato,xgboost,10319.608417939055,101.58547345924542,5.1020348110901175
2026-08-17,26.8.3,national,onion,arima,7454.6914234206715,86.34055491726163,3.3456818800266306
2026-08-17,26.8.3,national,potato,arima,10537.01124174512,102.64994516191969,9.089287133517034
2026-08-17,26.8.3,national,brinjal,xgboost,16799.915132990976,129.6144865861489,3.0883847284723798
2026-08-17,26.8.3,tn,tomato,xgboost,19098.59816334626,138.19767785077383,3.7957264670680133
2026-08-17,26.8.3,tn,onion,arima,1723.6656533504338,41.51705256097106,1.4618948116481556
2026-08-17,26.8.3,tn,potato,arima,11485.585013700274,107.17082165263209,2.9899602683450954
2026-08-17,26.8.3,tn,brinjal,xgboost,17706.031816770203,133.06401398112942,2.391154280069391
2026-08-23,26.8.4,national,tomato,xgboost,21837.006659695937,147.77349782588195,5.778717540686651
2026-08-23,26.8.4,national,onion,arima,15835.87522607465,125.84067397338052,5.606381471665171
2026-08-23,26.8.4,national,potato,arima,63362.90387270866,251.71989169056278,18.837655330307467
2026-08-23,26.8.4,national,brinjal,xgboost,72240.84826874976,268.77657686031677,9.547096919463565
2026-08-23,26.8.4,tn,tomato,xgboost,30098.731061849987,173.48985867147965,4.3850685796896185
2026-08-23,26.8.4,tn,onion,arima,197328.98647750696,444.2172739521809,16.555119427353162
2026-08-23,26.8.4,tn,potato,arima,1191568.315913028,1091.5898111987983,63.272091350069346
2026-08-23,26.8.4,tn,brinjal,xgboost,129436.24146094562,359.7724856919239,9.982572663638887
2026-08-30,26.8.5,national,tomato,xgboost,16399.84796383222,128.06189114577458,3.4675859158058464
2026-08-30,26.8.5,national,onion,arima,38754.96327315447,196.86280317305875,10.284944869239574
2026-08-30,26.8.5,national,potato,arima,205536.6045790355,453.36145025689547,37.34738539794485
2026-08-30,26.8.5,national,brinjal,xgboost,64928.62893197198,254.8109670559177,8.283360009420011
2026-08-30,26.8.5,tn,tomato,xgboost,22162.55157100326,148.87092251680065,2.9641342735137037
2026-08-30,26.8.5,tn,onion,arima,445934.86390944524,667.7835457013337,37.39698126636858
2026-08-30,26.8.5,tn,potato,arima,3053762.2278835536,1747.5017104093356,153.6150980122575
2026-08-30,26.8.5,tn,brinjal,xgboost,74573.93458365693,273.082285371382,8.952994152401887
